field_name,angle_deg,path_length_m,source
ee_field_10,35.0,33.6594664768758,f2c_heuristic
ee_field_103,115.0,92.9623846599038,f2c_heuristic
ee_field_105,100.0,1883.8088384335908,f2c_heuristic
ee_field_106,125.0,265.41440587148185,f2c_heuristic
ee_field_107,165.0,3702.6207857173067,f2c_heuristic
ee_field_114,5.0,517.8050849618085,f2c_heuristic
ee_field_117,40.0,1551.3712948726575,f2c_heuristic
ee_field_128,175.0,539.968473104585,f2c_heuristic
ee_field_130,70.0,1317.055422143949,f2c_heuristic
ee_field_132,135.0,9889.599378421704,f2c_heuristic
ee_field_133,55.0,1276.47639863358,f2c_heuristic
ee_field_135,135.0,898.2460466815044,f2c_heuristic
ee_field_136,45.0,529.5761896703531,f2c_heuristic
ee_field_138,160.0,266.00523763700613,f2c_heuristic
ee_field_139,95.0,1931.9522909108682,f2c_heuristic
ee_field_14,50.0,1598.2369882785708,f2c_heuristic
ee_field_140,100.0,23.41859246237778,f2c_heuristic
ee_field_141,5.0,754.5724261270793,f2c_heuristic
ee_field_142,110.0,5166.634075337188,f2c_heuristic
ee_field_146,125.0,1723.190638879416,f2c_heuristic
ee_field_147,105.0,4871.731657600674,f2c_heuristic
ee_field_148,0.0,6353.42964135261,f2c_heuristic
ee_field_149,10.0,3878.6441496727884,f2c_heuristic
ee_field_15,15.0,2575.49496288402,f2c_heuristic
ee_field_150,50.0,5264.775072033192,f2c_heuristic
ee_field_152,110.0,7033.779211920205,f2c_heuristic
ee_field_155,140.0,4159.61535618699,f2c_heuristic
ee_field_159,20.0,907.8767322564167,f2c_heuristic
ee_field_162,15.0,935.5641190030927,f2c_heuristic
ee_field_163,155.0,54.04980794816811,f2c_heuristic
ee_field_165,170.0,159.2395807103386,f2c_heuristic
ee_field_168,165.0,46.06810064995929,f2c_heuristic
ee_field_169,50.0,1993.3183595823557,f2c_heuristic
ee_field_170,50.0,1559.339837826233,f2c_heuristic
ee_field_173,170.0,4857.711462153424,f2c_heuristic
ee_field_175,40.0,373.8780340467892,f2c_heuristic
ee_field_176,85.0,935.631222875815,f2c_heuristic
ee_field_178,100.0,933.8079022662757,f2c_heuristic
ee_field_180,105.0,4334.1735965917405,f2c_heuristic
ee_field_183,95.0,2012.632779223995,f2c_heuristic
ee_field_184,170.0,2330.447586658639,f2c_heuristic
ee_field_188,155.0,369.7645819580756,f2c_heuristic
ee_field_189,0.0,328.8491979578868,f2c_heuristic
ee_field_19,45.0,9422.160215713107,f2c_heuristic
ee_field_192,170.0,2593.413066931102,f2c_heuristic
ee_field_197,150.0,4962.2800170233,f2c_heuristic
ee_field_198,165.0,3026.9936271479737,f2c_heuristic
ee_field_205,115.0,851.8176747236199,f2c_heuristic
ee_field_206,100.0,1858.0817538467716,f2c_heuristic
ee_field_207,25.0,8277.643494966096,f2c_heuristic
ee_field_209,15.0,682.2593576626812,f2c_heuristic
ee_field_210,95.0,8575.577603290738,f2c_heuristic
ee_field_214,170.0,1594.8154992865373,f2c_heuristic
ee_field_217,160.0,901.4890413320908,f2c_heuristic
ee_field_218,10.0,2032.5093576298327,f2c_heuristic
ee_field_219,175.0,492.0108589854889,f2c_heuristic
ee_field_22,35.0,230.7097859614202,f2c_heuristic
ee_field_221,155.0,4.711231183161402,f2c_heuristic
ee_field_24,160.0,1526.1213367609523,f2c_heuristic
ee_field_25,155.0,5506.070589350112,f2c_heuristic
ee_field_26,120.0,2034.808431209718,f2c_heuristic
ee_field_27,175.0,1345.4302685390555,f2c_heuristic
ee_field_28,5.0,12176.794957719287,f2c_heuristic
ee_field_35,5.0,1354.207651288083,f2c_heuristic
ee_field_37,130.0,39484.85624170203,f2c_heuristic
ee_field_38,145.0,2506.99383918439,f2c_heuristic
ee_field_41,80.0,3517.542439488513,f2c_heuristic
ee_field_42,85.0,591.0652515550049,f2c_heuristic
ee_field_43,130.0,3648.3759714301423,f2c_heuristic
ee_field_45,75.0,9708.290195416701,f2c_heuristic
ee_field_46,140.0,12930.740334351076,f2c_heuristic
ee_field_5,170.0,2634.34957076415,f2c_heuristic
ee_field_52,160.0,1703.0914395713814,f2c_heuristic
ee_field_59,145.0,103.36112697851382,f2c_heuristic
ee_field_6,155.0,1786.544136215271,f2c_heuristic
ee_field_61,15.0,441.6526295990664,f2c_heuristic
ee_field_62,140.0,1693.3500720691889,f2c_heuristic
ee_field_63,70.0,353.386484196934,f2c_heuristic
ee_field_64,70.0,343.0660380146902,f2c_heuristic
ee_field_65,70.0,1157.6997791247668,f2c_heuristic
ee_field_69,165.0,105.50862990062646,f2c_heuristic
ee_field_71,155.0,16644.672384971484,f2c_heuristic
ee_field_73,125.0,6136.279592716026,f2c_heuristic
ee_field_74,125.0,1853.0452958874616,f2c_heuristic
ee_field_76,15.0,1011.5425204196588,f2c_heuristic
ee_field_77,125.0,549.5791533588375,f2c_heuristic
ee_field_79,80.0,7982.503008880667,f2c_heuristic
ee_field_8,125.0,2298.4738890127264,f2c_heuristic
ee_field_82,5.0,3287.1836987162633,f2c_heuristic
ee_field_89,105.0,272.8687915638655,f2c_heuristic
ee_field_9,80.0,36669.238567883935,f2c_heuristic
ee_field_90,25.0,5498.221981225911,f2c_heuristic
ee_field_91,30.0,29044.98300482757,f2c_heuristic
ee_field_92,5.0,29301.445940819696,f2c_heuristic
ee_field_93,120.0,8693.355324112357,f2c_heuristic
ee_field_95,75.0,3274.3591741013056,f2c_heuristic
ee_field_97,90.0,5121.018771385284,f2c_heuristic
lt_field_1,5.0,249.34140347365854,f2c_heuristic
lt_field_102,10.0,6.865004835806014,f2c_heuristic
lt_field_103,135.0,210.21478921350865,f2c_heuristic
lt_field_106,170.0,1501.7976248259038,f2c_heuristic
lt_field_107,75.0,392.1840315178344,f2c_heuristic
lt_field_115,5.0,3765.5027768739687,f2c_heuristic
lt_field_119,135.0,5047.919649447003,f2c_heuristic
lt_field_12,95.0,2246.215370655942,f2c_heuristic
lt_field_120,45.0,3080.7099581467614,f2c_heuristic
lt_field_121,10.0,5776.105591788378,f2c_heuristic
lt_field_123,130.0,4418.631142005625,f2c_heuristic
lt_field_129,110.0,740.2435778925916,f2c_heuristic
lt_field_131,95.0,432.9183193204312,f2c_heuristic
lt_field_133,105.0,3598.506555098864,f2c_heuristic
lt_field_137,5.0,48.20748642001096,f2c_heuristic
lt_field_139,160.0,1899.2956564056465,f2c_heuristic
lt_field_143,120.0,1063.5402593916788,f2c_heuristic
lt_field_144,155.0,1069.327644280046,f2c_heuristic
lt_field_15,20.0,2688.285790786361,f2c_heuristic
lt_field_152,35.0,457.0631808379715,f2c_heuristic
lt_field_157,175.0,2323.612175802049,f2c_heuristic
lt_field_158,80.0,6540.8454373945015,f2c_heuristic
lt_field_16,95.0,217.39995300477463,f2c_heuristic
lt_field_160,90.0,6481.530383219815,f2c_heuristic
lt_field_162,150.0,11617.233482338332,f2c_heuristic
lt_field_163,155.0,11600.387037864657,f2c_heuristic
lt_field_164,70.0,13806.03634415878,f2c_heuristic
lt_field_165,10.0,13964.560205571855,f2c_heuristic
lt_field_166,5.0,15084.13646224814,f2c_heuristic
lt_field_167,30.0,25984.209551885902,f2c_heuristic
lt_field_168,5.0,17368.5816429421,f2c_heuristic
lt_field_169,90.0,3760.7736669640553,f2c_heuristic
lt_field_17,145.0,2325.182935211145,f2c_heuristic
lt_field_170,10.0,14488.45311080315,f2c_heuristic
lt_field_171,100.0,9569.88544404422,f2c_heuristic
lt_field_172,10.0,3915.3075550747867,f2c_heuristic
lt_field_178,10.0,3508.8061135029325,f2c_heuristic
lt_field_179,20.0,8020.5011240396425,f2c_heuristic
lt_field_18,135.0,589.183774616692,f2c_heuristic
lt_field_182,15.0,2691.838386182534,f2c_heuristic
lt_field_186,5.0,1277.7257173894109,f2c_heuristic
lt_field_188,100.0,1085.0669105445004,f2c_heuristic
lt_field_19,175.0,11319.41989578869,f2c_heuristic
lt_field_191,105.0,8018.856703688559,f2c_heuristic
lt_field_192,120.0,14161.972403960395,f2c_heuristic
lt_field_194,40.0,302.6432211116654,f2c_heuristic
lt_field_195,165.0,674.0091059147304,f2c_heuristic
lt_field_197,45.0,1135.6815625154916,f2c_heuristic
lt_field_2,175.0,220.78166406582753,f2c_heuristic
lt_field_20,15.0,11008.488779036361,f2c_heuristic
lt_field_201,145.0,318.424998099506,f2c_heuristic
lt_field_202,115.0,1570.8233198335813,f2c_heuristic
lt_field_203,40.0,374.27135342702377,f2c_heuristic
lt_field_207,150.0,1154.4703576835277,f2c_heuristic
lt_field_208,150.0,515.6971708358193,f2c_heuristic
lt_field_21,170.0,291.75432492367196,f2c_heuristic
lt_field_214,0.0,174.08063806607507,f2c_heuristic
lt_field_217,0.0,154.90298194431026,f2c_heuristic
lt_field_221,65.0,1349.316999554527,f2c_heuristic
lt_field_225,5.0,2296.4911822269596,f2c_heuristic
lt_field_226,0.0,31353.02763296899,f2c_heuristic
lt_field_229,75.0,47192.695536011925,f2c_heuristic
lt_field_230,175.0,14362.413450384589,f2c_heuristic
lt_field_231,170.0,238.48157860290559,f2c_heuristic
lt_field_233,75.0,12537.31103880727,f2c_heuristic
lt_field_235,175.0,3289.540277287516,f2c_heuristic
lt_field_236,75.0,2589.6396754020734,f2c_heuristic
lt_field_237,105.0,2635.7947647148035,f2c_heuristic
lt_field_238,175.0,10142.817692309503,f2c_heuristic
lt_field_239,80.0,3209.540297768903,f2c_heuristic
lt_field_240,35.0,659.397784161343,f2c_heuristic
lt_field_245,25.0,31.913409742910215,f2c_heuristic
lt_field_251,175.0,2806.4963839901948,f2c_heuristic
lt_field_255,5.0,2534.4583400510737,f2c_heuristic
lt_field_256,160.0,1942.6288878660846,f2c_heuristic
lt_field_258,70.0,280.0485628389688,f2c_heuristic
lt_field_260,35.0,538.4865043962292,f2c_heuristic
lt_field_269,90.0,501.7088321677671,f2c_heuristic
lt_field_27,90.0,580.1463426518092,f2c_heuristic
lt_field_279,160.0,281.292168167364,f2c_heuristic
lt_field_280,90.0,5717.29418202239,f2c_heuristic
lt_field_281,155.0,3566.7511680764173,f2c_heuristic
lt_field_286,140.0,1504.8029307471384,f2c_heuristic
lt_field_287,90.0,11268.38011569055,f2c_heuristic
lt_field_289,75.0,3374.888565320508,f2c_heuristic
lt_field_290,75.0,4038.4276790963863,f2c_heuristic
lt_field_291,150.0,4716.865115867747,f2c_heuristic
lt_field_292,150.0,1817.490503073306,f2c_heuristic
lt_field_293,85.0,8038.067792285239,f2c_heuristic
lt_field_3,65.0,1657.1093642417718,f2c_heuristic
lt_field_35,140.0,2256.6978893664245,f2c_heuristic
lt_field_38,105.0,4391.346587987733,f2c_heuristic
lt_field_5,60.0,515.6909528471979,f2c_heuristic
lt_field_50,170.0,3962.178031272866,f2c_heuristic
lt_field_52,80.0,1810.9361155274423,f2c_heuristic
lt_field_54,170.0,1645.3039099653706,f2c_heuristic
lt_field_55,170.0,4666.8024494984675,f2c_heuristic
lt_field_58,80.0,8624.37051484752,f2c_heuristic
lt_field_60,40.0,902.5475612583663,f2c_heuristic
lt_field_61,0.0,2073.97757257797,f2c_heuristic
lt_field_65,5.0,328.2102294194744,f2c_heuristic
lt_field_68,170.0,6144.411175139568,f2c_heuristic
lt_field_69,35.0,12537.510787142464,f2c_heuristic
lt_field_70,130.0,652.0480159396772,f2c_heuristic
lt_field_75,65.0,289.4048240359974,f2c_heuristic
lt_field_76,0.0,721.4564070725551,f2c_heuristic
lt_field_81,95.0,5188.898645499318,f2c_heuristic
lt_field_82,165.0,2337.431094436377,f2c_heuristic
lt_field_86,95.0,4683.552626140838,f2c_heuristic
lt_field_87,95.0,403.00834072829286,f2c_heuristic
lt_field_90,5.0,518.2467265103339,f2c_heuristic
lt_field_95,70.0,792.6990953451068,f2c_heuristic
lt_field_97,110.0,230.00740632020575,f2c_heuristic
nl_field_1,130.0,5639.610210825226,f2c_heuristic
nl_field_10,115.0,1517.4021415890306,f2c_heuristic
nl_field_100,130.0,3384.1998556870403,f2c_heuristic
nl_field_101,25.0,327.5035713776379,f2c_heuristic
nl_field_104,160.0,2120.5079604896664,f2c_heuristic
nl_field_105,85.0,822.2944513977377,f2c_heuristic
nl_field_106,35.0,9687.781490243651,f2c_heuristic
nl_field_108,80.0,165.72365715089094,f2c_heuristic
nl_field_109,155.0,2670.101864973671,f2c_heuristic
nl_field_11,95.0,6702.859444390556,f2c_heuristic
nl_field_110,130.0,821.1439978715368,f2c_heuristic
nl_field_111,70.0,3146.160077980649,f2c_heuristic
nl_field_112,100.0,1196.2210500150627,f2c_heuristic
nl_field_113,25.0,1753.178427225886,f2c_heuristic
nl_field_117,155.0,171.84052332177555,f2c_heuristic
nl_field_119,20.0,9512.293991011067,f2c_heuristic
nl_field_12,80.0,11951.663475875599,f2c_heuristic
nl_field_122,65.0,1714.8918302318807,f2c_heuristic
nl_field_123,165.0,1082.956143277235,f2c_heuristic
nl_field_127,40.0,384.7755821022271,f2c_heuristic
nl_field_13,65.0,912.372392236953,f2c_heuristic
nl_field_134,170.0,173.20174556970142,f2c_heuristic
nl_field_134649,40.0,2530.087957213681,f2c_heuristic
nl_field_136,25.0,2059.950866449864,f2c_heuristic
nl_field_137,100.0,1207.9360534969621,f2c_heuristic
nl_field_138,165.0,178.58860876733561,f2c_heuristic
nl_field_139,170.0,2169.360898649059,f2c_heuristic
nl_field_14,130.0,2268.786832582029,f2c_heuristic
nl_field_143,5.0,10781.893551562776,f2c_heuristic
nl_field_147,125.0,4620.472410061294,f2c_heuristic
nl_field_149,175.0,5192.6439278677635,f2c_heuristic
nl_field_15,165.0,1819.1312942582022,f2c_heuristic
nl_field_151,120.0,4754.3813962688555,f2c_heuristic
nl_field_152,135.0,1023.6200399429017,f2c_heuristic
nl_field_158,55.0,3839.28571730335,f2c_heuristic
nl_field_159417,60.0,10356.792659894341,f2c_heuristic
nl_field_160,45.0,7741.615202522266,f2c_heuristic
nl_field_162,145.0,2694.787002618619,f2c_heuristic
nl_field_163,160.0,13385.294997856481,f2c_heuristic
nl_field_165,55.0,5109.260438604914,f2c_heuristic
nl_field_166,80.0,4799.220537193603,f2c_heuristic
nl_field_168,175.0,133.19776124769544,f2c_heuristic
nl_field_17,80.0,236.52155732365875,f2c_heuristic
nl_field_171,45.0,4.2827141515211835,f2c_heuristic
nl_field_174,125.0,6865.492434757387,f2c_heuristic
nl_field_175965,175.0,638.4483029299826,f2c_heuristic
nl_field_178,100.0,7314.4465743425335,f2c_heuristic
nl_field_18,115.0,13972.746465085731,f2c_heuristic
nl_field_187,150.0,2948.8307677967878,f2c_heuristic
nl_field_187374,80.0,5693.6985942895,f2c_heuristic
nl_field_188,145.0,216.65708401571365,f2c_heuristic
nl_field_19,110.0,2347.065619550236,f2c_heuristic
nl_field_191476,95.0,1621.632874434555,f2c_heuristic
nl_field_2,155.0,4718.809141082827,f2c_heuristic
nl_field_20,115.0,8234.345802838488,f2c_heuristic
nl_field_200637,30.0,3086.387142710448,f2c_heuristic
nl_field_21,40.0,2396.1825439602244,f2c_heuristic
nl_field_22,170.0,2959.0677111847467,f2c_heuristic
nl_field_23,10.0,7534.244522600828,f2c_heuristic
nl_field_24,95.0,19303.295539939103,f2c_heuristic
nl_field_25,90.0,3868.456582313977,f2c_heuristic
nl_field_26,15.0,2129.8854026350236,f2c_heuristic
nl_field_278678,30.0,199.03711039161138,f2c_heuristic
nl_field_28,5.0,4560.55940896916,f2c_heuristic
nl_field_29,150.0,27323.25906148082,f2c_heuristic
nl_field_30,50.0,37696.34782822345,f2c_heuristic
nl_field_300075,140.0,3869.7211071865154,f2c_heuristic
nl_field_30475,120.0,4339.138756274559,f2c_heuristic
nl_field_31,140.0,2840.954237778902,f2c_heuristic
nl_field_32,40.0,990.1325592764399,f2c_heuristic
nl_field_33,50.0,7161.275398370822,f2c_heuristic
nl_field_338399,30.0,4.170286339098958,f2c_heuristic
nl_field_35,10.0,2310.577389345228,f2c_heuristic
nl_field_36,80.0,2706.8313795177587,f2c_heuristic
nl_field_37,50.0,4011.416395482032,f2c_heuristic
nl_field_371656,80.0,1171.8852696339648,f2c_heuristic
nl_field_372467,20.0,1622.8856894135129,f2c_heuristic
nl_field_39,170.0,1787.8112453655485,f2c_heuristic
nl_field_40,45.0,2650.147514860861,f2c_heuristic
nl_field_42,40.0,4169.334130891335,f2c_heuristic
nl_field_43,165.0,2221.133856814356,f2c_heuristic
nl_field_44,70.0,2886.762717686296,f2c_heuristic
nl_field_44533,125.0,5472.199550441798,f2c_heuristic
nl_field_46,70.0,1653.6413476475775,f2c_heuristic
nl_field_462244,140.0,1925.0737224475401,f2c_heuristic
nl_field_47,15.0,5461.441150218984,f2c_heuristic
nl_field_48,40.0,3796.7601705042903,f2c_heuristic
nl_field_49,95.0,4114.175693376359,f2c_heuristic
nl_field_50,125.0,6446.4343921287345,f2c_heuristic
nl_field_52,140.0,9405.79331283089,f2c_heuristic
nl_field_53,20.0,1912.0689914626853,f2c_heuristic
nl_field_532603,140.0,2188.676793267318,f2c_heuristic
nl_field_54,15.0,3740.2561976853754,f2c_heuristic
nl_field_558824,70.0,2368.2210012258624,f2c_heuristic
nl_field_56,40.0,1416.3899566113255,f2c_heuristic
nl_field_57,95.0,2311.002611014115,f2c_heuristic
nl_field_576946,95.0,2595.918174926876,f2c_heuristic
nl_field_58,120.0,3121.5748813466016,f2c_heuristic
nl_field_586195,110.0,4885.329259481267,f2c_heuristic
nl_field_59,150.0,24261.45865836062,f2c_heuristic
nl_field_59131,5.0,3968.1124753271247,f2c_heuristic
nl_field_60,150.0,1878.9398556783524,f2c_heuristic
nl_field_61,150.0,1658.6370017473234,f2c_heuristic
nl_field_62,170.0,992.2291883268374,f2c_heuristic
nl_field_63,170.0,777.5201955491316,f2c_heuristic
nl_field_64,130.0,1949.670674195754,f2c_heuristic
nl_field_65,165.0,566.8731908112067,f2c_heuristic
nl_field_657406,160.0,2814.6574982687166,f2c_heuristic
nl_field_66,60.0,440.32649777356266,f2c_heuristic
nl_field_66921,85.0,961.4014159965467,f2c_heuristic
nl_field_67,170.0,2401.6637040134956,f2c_heuristic
nl_field_69,125.0,3709.0789805853037,f2c_heuristic
nl_field_7,45.0,10111.477116255217,f2c_heuristic
nl_field_70,50.0,2748.2928005089893,f2c_heuristic
nl_field_702198,80.0,2891.713630839559,f2c_heuristic
nl_field_71,40.0,1845.0976156198203,f2c_heuristic
nl_field_716551,165.0,6138.777066569807,f2c_heuristic
nl_field_72,35.0,537.2782127091895,f2c_heuristic
nl_field_729253,25.0,5944.102408915953,f2c_heuristic
nl_field_73,170.0,4150.472219775627,f2c_heuristic
nl_field_77,160.0,1314.7004276033704,f2c_heuristic
nl_field_78,135.0,1217.9441850878686,f2c_heuristic
nl_field_79,35.0,15457.970702291534,f2c_heuristic
nl_field_8,95.0,10165.092560617206,f2c_heuristic
nl_field_81,25.0,6917.137315831258,f2c_heuristic
nl_field_82,30.0,2609.863839897011,f2c_heuristic
nl_field_83,25.0,5126.221310241499,f2c_heuristic
nl_field_84,30.0,270.1604219717288,f2c_heuristic
nl_field_85,175.0,5447.027089364203,f2c_heuristic
nl_field_85439,60.0,18062.97458855045,f2c_heuristic
nl_field_87,100.0,11748.10482175745,f2c_heuristic
nl_field_88,110.0,1419.5529188237742,f2c_heuristic
nl_field_89,95.0,2454.297896298283,f2c_heuristic
nl_field_90,95.0,621.3248820730948,f2c_heuristic
nl_field_91,170.0,1947.9538805254222,f2c_heuristic
nl_field_94,70.0,2001.756400199633,f2c_heuristic
nl_field_95,80.0,12915.725989899514,f2c_heuristic
nl_field_96,150.0,6001.85977882132,f2c_heuristic
nl_field_98,160.0,1587.0253739691225,f2c_heuristic
nl_field_99,130.0,1987.345600692005,f2c_heuristic
